room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
2079672,1558,10625737,Entire home/apt,,Calgary,CENTRE,BRIDGELAND/RIVERSIDE,31,4.5,6,2.0,,90.0,,2017-08-10 14:11:43.174856,51.051840999999996,-114.039208,0101000020E6100000766F456282825CC0C5CBD3B9A2864940
9366083,1558,45932985,Entire home/apt,,Calgary,CENTRE,HILLHURST,5,5.0,4,3.0,,102.0,,2017-08-10 14:11:43.157588,51.056177000000005,-114.08836699999999,0101000020E6100000ECC20FCEA7855CC0C9E4D4CE30874940
16947266,1558,72882510,Entire home/apt,,Calgary,CENTRE,RAMSAY,16,4.5,6,3.0,,98.0,,2017-08-10 14:11:35.618059,51.036564,-114.044183,0101000020E61000008202EFE4D3825CC0001B1021AE844940
8826028,1558,10083564,Entire home/apt,,Calgary,CENTRE,CRESCENT HEIGHTS,1,0.0,4,1.0,,48.0,,2017-08-10 14:11:07.041072,51.05503,-114.052702,0101000020E6100000C39B35785F835CC0422619390B874940
16765802,1558,23623635,Entire home/apt,,Calgary,CENTRE,BRIDGELAND/RIVERSIDE,1,0.0,3,1.0,,50.0,,2017-08-10 14:11:07.031756,51.051722,-114.044344,0101000020E610000086713788D6825CC0EA3D95D39E864940
19471182,1558,136603826,Entire home/apt,,Calgary,CENTRE,BRIDGELAND/RIVERSIDE,0,0.0,2,1.0,,218.0,,2017-08-10 14:10:46.099490,51.049509,-114.04236100000001,0101000020E61000000E68E90AB6825CC0C8ED974F56864940
19930499,1558,122059646,Entire home/apt,,Calgary,NORTHWEST,DALHOUSIE,0,0.0,16,6.0,,211.0,,2017-08-10 14:10:43.669625,51.106667,-114.164649,0101000020E61000006C94F59B898A5CC0FE47A643A78D4940
18998172,1558,6102211,Entire home/apt,,Calgary,CENTRE,BANFF TRAIL,1,0.0,8,4.0,,304.0,,2017-08-10 14:10:42.056997,51.072606,-114.10931299999999,0101000020E6100000C501F4FBFE865CC027BF45274B894940
19566959,1558,131486783,Entire home/apt,,Calgary,CENTRE,BANKVIEW,2,0.0,6,2.0,,219.0,,2017-08-10 14:10:42.045813,51.03581,-114.09521000000001,0101000020E61000002310AFEB17865CC0546F0D6C95844940
18856458,1558,131366842,Entire home/apt,,Calgary,CENTRE,BELTLINE,3,5.0,4,2.0,,284.0,,2017-08-10 14:10:42.028580,51.039454,-114.06081100000002,0101000020E61000002C0FD253E4835CC023D923D40C854940
13385142,1558,66385580,Entire home/apt,,Calgary,CENTRE,DOWNTOWN COMMERCIAL CORE,9,5.0,4,2.0,,284.0,,2017-08-10 14:10:42.022124,51.049898,-114.07727,0101000020E610000090BDDEFDF1845CC06211C30E63864940
12927615,1558,4013929,Entire home/apt,,Calgary,CENTRE,BELTLINE,1,0.0,3,2.0,,185.0,,2017-08-10 14:10:39.163548,51.039881,-114.07758700000001,0101000020E610000010E6762FF7845CC0AB5D13D21A854940
3434928,1558,17313507,Entire home/apt,,Calgary,CENTRE,RENFREW,0,0.0,2,3.0,,195.0,,2017-08-10 14:10:39.160251,51.064655,-114.032025,0101000020E6100000E2E995B20C825CC0EE42739D46884940
7129686,1558,37342929,Entire home/apt,,Calgary,CENTRE,DOWNTOWN COMMERCIAL CORE,2,0.0,4,2.0,,203.0,,2017-08-10 14:10:39.152819,51.049734,-114.08100900000001,0101000020E6100000A06B5F402F855CC0E8BF07AF5D864940
17408576,1558,98776822,Entire home/apt,,Calgary,CENTRE,BELTLINE,3,5.0,4,2.0,,203.0,,2017-08-10 14:10:39.143092,51.040012,-114.086652,0101000020E61000008388D4B48B855CC049B9FB1C1F854940
9632553,1558,49817111,Entire home/apt,,Calgary,CENTRE,HILLHURST,11,5.0,4,3.0,,203.0,,2017-08-10 14:10:38.060399,51.051494,-114.09569099999999,0101000020E610000061E124CD1F865CC059F8FA5A97864940
5220095,1558,25915906,Entire home/apt,,Calgary,CENTRE,WEST HILLHURST,5,4.5,8,4.0,,162.0,,2017-08-10 14:10:33.873924,51.054409,-114.11093999999999,0101000020E61000005EF415A419875CC0D5CDC5DFF6864940
13445203,1558,776729,Entire home/apt,,Calgary,CENTRE,HILLHURST,1,0.0,3,3.0,,163.0,,2017-08-10 14:10:32.172236,51.054839,-114.087699,0101000020E6100000153944DC9C855CC0CEC5DFF604874940
14183461,1558,6786977,Entire home/apt,,Calgary,CENTRE,CLIFF BUNGALOW,7,4.5,6,2.0,,163.0,,2017-08-10 14:10:28.721014,51.037095,-114.074685,0101000020E61000001D2098A3C7845CC02DEC6987BF844940
19691648,1558,15301953,Entire home/apt,,Calgary,CENTRE,WEST HILLHURST,1,0.0,5,3.0,,159.0,,2017-08-10 14:10:28.701800,51.055128,-114.115108,0101000020E610000083E0F1ED5D875CC0058C2E6F0E874940
18780873,1558,12514402,Entire home/apt,,Calgary,CENTRE,BELTLINE,0,0.0,8,2.0,,163.0,,2017-08-10 14:10:28.696752,51.038315999999995,-114.067384,0101000020E61000008411FB0450845CC0EF74E789E7844940
18855978,1558,127096578,Entire home/apt,,Calgary,CENTRE,DOWNTOWN COMMERCIAL CORE,0,0.0,4,2.0,,163.0,,2017-08-10 14:10:27.296196,51.048014,-114.081511,0101000020E6100000EAD0E97937855CC005E09F5225864940
19829627,1558,46171301,Entire home/apt,,Calgary,CENTRE,BRIDGELAND/RIVERSIDE,0,0.0,4,0.0,,155.0,,2017-08-10 14:10:24.564118,51.050599,-114.03888,0101000020E6100000FC1D8A027D825CC0EB1A2D077A864940
6777251,1558,24463400,Entire home/apt,,Calgary,CENTRE,BELTLINE,8,5.0,5,2.0,,130.0,,2017-08-10 14:10:21.679504,51.039013,-114.070725,0101000020E61000009D8026C286845CC0368FC360FE844940
2636290,1558,13499190,Entire home/apt,,Calgary,CENTRE,BELTLINE,25,5.0,2,1.0,,134.0,,2017-08-10 14:10:21.672303,51.042846999999995,-114.05955700000001,0101000020E6100000DDCF29C8CF835CC0A9DDAF027C854940
3186403,1558,16155113,Entire home/apt,,Calgary,CENTRE,MISSION,15,5.0,4,2.0,,142.0,,2017-08-10 14:10:21.668699,51.029990999999995,-114.066956,0101000020E61000005891D10149845CC05116BEBED6834940
19747306,1558,24019401,Entire home/apt,,Calgary,CENTRE,DOWNTOWN EAST VILLAGE,2,0.0,4,2.0,,128.0,,2017-08-10 14:10:19.987275,51.044244,-114.048229,0101000020E6100000016E162F16835CC0A98592C9A9854940
13638274,1558,12365039,Entire home/apt,,Calgary,CENTRE,BELTLINE,3,4.5,4,2.0,,129.0,,2017-08-10 14:10:19.980121,51.041562,-114.077977,0101000020E6100000C6353E93FD845CC0D06053E751854940
17284200,1558,116399008,Entire home/apt,,Calgary,CENTRE,DOWNTOWN COMMERCIAL CORE,15,4.5,6,2.0,,137.0,,2017-08-10 14:10:19.967019,51.050313,-114.07295900000001,0101000020E6100000BABC395CAB845CC026C808A870864940
