room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
16271748,1558,19867960,Shared room,,Calgary,NORTHWEST,UNIVERSITY HEIGHTS,5,5.0,3,1.0,,13.0,,2017-08-10 14:18:40.698746,51.070319,-114.126374,0101000020E61000002444F98216885CC0CAA4863600894940
20229244,1558,128570120,Shared room,,Calgary,WEST,SPRUCE CLIFF,0,0.0,1,1.0,,19.0,,2017-08-10 14:18:38.997376,51.043175,-114.135631,0101000020E6100000B954A52DAE885CC09D8026C286854940
13251097,1558,74528742,Shared room,,Calgary,SOUTH,SHAWNESSY,0,0.0,1,1.0,,16.0,,2017-08-10 14:18:38.994973,50.91096,-114.07166,0101000020E61000009B1BD31396845CC06AFB57569A744940
7133290,1558,37361945,Shared room,,Calgary,SOUTH,CANYON MEADOWS,1,0.0,4,1.0,,36.0,,2017-08-10 14:18:38.992393,50.947092,-114.084547,0101000020E610000065FED13769855CC0D026874F3A794940
8798650,1558,46026372,Shared room,,Calgary,NORTHWEST,UNIVERSITY HEIGHTS,2,0.0,4,1.0,,29.0,,2017-08-10 14:18:38.989739,51.071994,-114.134178,0101000020E6100000EF75525F96885CC00DC1711937894940
17754475,1558,60953551,Shared room,,Calgary,SOUTH,BRAESIDE,0,0.0,1,1.0,,15.0,,2017-08-10 14:18:38.986842,50.956855,-114.101036,0101000020E6100000FEEDB25F77865CC0CD0182397A7A4940
13894423,1558,82307916,Shared room,,Calgary,CENTRE,BELTLINE,0,0.0,2,1.0,,33.0,,2017-08-10 14:18:38.984097,51.043285,-114.063401,0101000020E6100000286211C30E845CC024B4E55C8A854940
19389367,1558,130061369,Shared room,,Calgary,CENTRE,CAPITOL HILL,0,0.0,1,1.0,,36.0,,2017-08-10 14:18:38.981529,51.074867,-114.102178,0101000020E6100000B91798158A865CC05A46EA3D95894940
16272900,1558,29122642,Shared room,,Calgary,SOUTH,SHAWNESSY,30,4.5,2,1.0,,10.0,,2017-08-10 14:18:38.978474,50.90954,-114.073899,0101000020E6100000410DDFC2BA845CC0B13385CE6B744940
13938096,1558,82875595,Shared room,,Calgary,WEST,COACH HILL,2,0.0,2,1.0,,40.0,,2017-08-10 14:18:38.975400,51.060825,-114.185765,0101000020E610000074EFE192E38B5CC0BDE3141DC9874940
18707679,1558,130062909,Shared room,,Calgary,CENTRE,CAPITOL HILL,2,0.0,1,1.0,,36.0,,2017-08-10 14:18:38.973212,51.073561,-114.101874,0101000020E61000000394861A85865CC06AA164726A894940
10551962,1558,38602460,Shared room,,Calgary,NORTHEAST,CITYSCAPE,18,5.0,2,1.0,,12.0,,2017-08-10 14:18:38.970488,51.152696,-113.960074,0101000020E61000005BEF37DA717D5CC0711DE38A8B934940
19309362,1558,135227984,Shared room,,Calgary,CENTRE,BANFF TRAIL,0,0.0,1,1.0,,40.0,,2017-08-10 14:18:38.968023,51.075177,-114.112173,0101000020E6100000A19FA9D72D875CC0A83462669F894940
